"filename", "language", "C#", "MS SQL", "JSON", "Python", "XML", "JSON with Comments", "TypeScript", "TypeScript JSX", "PostCSS", "Markdown", "JavaScript", "comment", "blank", "total"
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactGenerators\MatchingFactGenerator.cs", "C#", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactGenerators\MessageFactGenerator.cs", "C#", 91, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 13, 104
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactGenerators\SearchProfileFactGenerator.cs", "C#", 36, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 42
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactGenerators\UserFactGenerator.cs", "C#", 73, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8, 81
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\AuthorizationFact.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\AuthorizationFactStore.cs", "C#", 27, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 32
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\Conversations\ConversationAuthorizationFactStore.cs", "C#", 35, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 39
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\Conversations\Facts\IsParticipantConversationFact.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\Judgements\Facts\IsJudgementJudge.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\Judgements\Facts\IsJudgementJudgee.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 4
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\Judgements\Facts\IsPositivelyJudgedJudgee.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\Judgements\JudgementAuthorizationFactStore.cs", "C#", 56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 66
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\Matches\Facts\IsParticipantMatchFact.cs", "C#", 2, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactStores\Matches\MatchingAuthorizationFactStore.cs", "C#", 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 27
