"filename", "language", "MS SQL", "JSON", "Python", "C#", "XML", "TypeScript", "TypeScript JSX", "PostCSS", "comment", "blank", "total"
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\SearchProfiles\Handlers\UpdateSearchProfileHandler.cs", "C#", 0, 0, 0, 125, 0, 0, 0, 0, 0, 11, 136
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\SearchProfiles\UpdateSearchProfileCommand.cs", "C#", 0, 0, 0, 16, 0, 0, 0, 0, 0, 2, 18
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Users\Handlers\GenerateCandidatesHandler.cs", "C#", 0, 0, 0, 33, 0, 0, 0, 0, 0, 7, 40
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Users\Handlers\RegisterHandler.cs", "C#", 0, 0, 0, -47, 0, 0, 0, 0, 0, -5, -52
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Users\Handlers\UpdateHandler.cs", "C#", 0, 0, 0, 6, 0, 0, 0, 0, 0, 2, 8
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Users\RegisterCommand.cs", "C#", 0, 0, 0, 8, 0, 0, 0, 0, 0, 1, 9
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Commands\Users\UpdateCommand.cs", "C#", 0, 0, 0, 4, 0, 0, 0, 0, 0, 1, 5
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\Aggregates\Judgement.cs", "C#", 0, 0, 0, 1, 0, 0, 0, 0, 0, -1, 0
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\Aggregates\Matching.cs", "C#", 0, 0, 0, 1, 0, 0, 0, 0, 0, 3, 4
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\Aggregates\Message.cs", "C#", 0, 0, 0, 10, 0, 0, 0, 0, 0, 3, 13
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\Aggregates\SearchProfile.cs", "C#", 0, 0, 0, 48, 0, 0, 0, 0, 0, 6, 54
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\Aggregates\User.cs", "C#", 0, 0, 0, 7, 0, 0, 0, 0, 0, 2, 9
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Dtos\Read\Entities\ConversationDto.cs", "C#", 0, 0, 0, 1, 0, 0, 0, 0, 0, 3, 4
