"filename", "language", "JSON", "JSON with Comments", "YAML", "TypeScript", "MS SQL", "Python", "Markdown", "JavaScript", "TypeScript JSX", "C#", "XML", "PostCSS", "Skill", "comment", "blank", "total"
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Abstractions\Services\AuthServices\AuthService.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 10, 59
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Abstractions\Services\AuthServices\Credentials.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 0, 0, 0, 0, 1, 5
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Abstractions\Services\AuthenticatedUserService.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Abstractions\Services\ContentSafetyService.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 6, 1, 12
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Abstractions\Services\FileService.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 6, 41
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Abstractions\Services\NotificationService.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 0, 0, 0, 0, 1, 6
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Abstractions\Services\WorkItemServices\IWorkItemService.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 0, 0, 0, 0, 3, 12
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Abstractions\Services\WorkItemServices\WorkItems\DeleteFile.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Abstractions\Services\WorkItemServices\WorkItems\MoveImage.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 2, 0, 0, 0, 0, 1, 3
"c:\Users\Miro\source\repos\Embe.C2C\src\Embe.C2C.Application\Authorizations\FactGenerators\AuthorizationFactGenerator.cs", "C#", 0, 0, 0, 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 0, 2, 8
